group,protocol,strategy,n,ap_count,ap_mean,ap_std,chip_ap_count,chip_ap_mean,chip_ap_std,chip_recall_count,chip_recall_mean,chip_recall_std,precision_count,precision_mean,precision_std,recall_count,recall_mean,recall_std,f1_count,f1_mean,f1_std,fp_count,fp_mean,fp_std,fpr_count,fpr_mean,fpr_std,inference_seconds_count,inference_seconds_mean,inference_seconds_std
R0_importance,static,importance,1,1,0.1432709115493529,,1,0.12980744173058223,,1,0.1958024059380599,,1,0.1981637337413925,,1,0.23259991019308487,,1,0.21400537079115886,,1,4192.0,,1,0.001147368101250823,,1,20.712827800016385,
R0_topology,static,topology,1,1,0.15793047750075884,,1,0.14970339878033712,,1,0.18991553621704632,,1,0.21881606765327696,,1,0.2323753929052537,,1,0.22539198606271776,,1,3695.0,,1,0.0010113371026053697,,1,13.730721800005995,
R0_uniform,static,uniform,1,1,0.1871015049555408,,1,0.17983790412567788,,1,0.22805221397491682,,1,0.25862068965517243,,1,0.2593174674449933,,1,0.2589686098654709,,1,3311.0,,1,0.0009062346811168354,,1,13.656843600037973,
