experiment,experiment_id,experiment_title,source,run,comparison_id,variant,strategy,seed,metric_ap,metric_name,roc_auc,precision,recall,f1,f1_macro,gmean,accuracy,specificity,false_positive_rate,alert_rate,decision_threshold,threshold_policy,best_val_ap,val_test_ap_gap,inference_seconds,inference_ms_per_1000,duration_seconds,peak_vram_gb,long_tail_recall,tp,fp,tn,fn,protocol,full_data,included_in_summary,notes
EXP3,3,Stable training/evaluation,result\exp3_summary.csv,,,exp3_stable_training,uniform,44.0,0.0021901408832828,AP/AUPRC,,0.0,0.0,0.0,,,0.9978666666666667,0.9998330049096557,0.00016699509034434387,,0.9866414467493692,,0.3514584297089276,0.3492682888256448,2.1855106000148226,72.85035333382741,,,0.0,0.0,5.0,29936.0,59.0,temporal_70_15_15,,,Memisahkan RNG training/evaluation dan menstabilkan checkpoint/threshold.
EXP3,3,Stable training/evaluation,result\exp3_summary.csv,,,exp3_stable_training,uniform,45.0,0.0019712828126368,AP/AUPRC,,0.0,0.0,0.0,,,0.9979666666666667,0.9999332019638623,6.679803613773756e-05,,0.9972414970397948,,0.3292006413879689,0.3272293585753321,2.108594899997115,70.2864966665705,,,0.0,0.0,2.0,29939.0,59.0,temporal_70_15_15,,,Memisahkan RNG training/evaluation dan menstabilkan checkpoint/threshold.
EXP3,3,Stable training/evaluation,result\exp3_summary.csv,,,exp3_stable_training,uniform,46.0,0.0033420977780523,AP/AUPRC,,0.0,0.0,0.0,,,0.9976666666666667,0.9996326108012424,0.0003673891987575565,,0.986347794532776,,0.3394126837627203,0.33607058598466805,2.4411930999776814,81.37310333258938,,,0.0,0.0,11.0,29930.0,59.0,temporal_70_15_15,,,Memisahkan RNG training/evaluation dan menstabilkan checkpoint/threshold.
EXP4,4,GPU-bound stable evaluation,result\exp4_summary.csv,,,exp4_gpu_stable,uniform,42.0,0.0030893610818381,AP/AUPRC,,0.0,0.0,0.0,,,0.998,0.9999666009819311,3.339901806886878e-05,,0.9901764988899232,,0.2769799370975498,0.2738905760157117,0.216293899982702,7.209796666090066,,0.1349248886108398,0.0,0.0,1.0,29940.0,59.0,temporal_70_15_15,,,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP4,4,GPU-bound stable evaluation,result\exp4_summary.csv,,,exp4_gpu_stable,uniform,43.0,0.0022010887348412,AP/AUPRC,,0.0,0.0,0.0,,,0.9978666666666667,0.9998330049096557,0.00016699509034434387,,0.979799747467041,,0.2219439929324155,0.2197429041975743,0.1469975000072736,4.899916666909121,,0.1350927352905273,0.0,0.0,5.0,29936.0,59.0,temporal_70_15_15,,,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP4,4,GPU-bound stable evaluation,result\exp4_summary.csv,,,exp4_gpu_stable,uniform,44.0,0.0025829741902987,AP/AUPRC,,0.0,0.0,0.0,,,0.9970333333333333,0.9989980294579339,0.0010019705420660633,,0.991567850112915,,0.1925329535176223,0.1899499793273236,0.1635525000165216,5.451750000550722,,0.1350941658020019,0.0,0.0,30.0,29911.0,59.0,temporal_70_15_15,,,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP4,4,GPU-bound stable evaluation,result\exp4_summary.csv,,,exp4_gpu_stable,uniform,45.0,0.0027573750884969,AP/AUPRC,,0.0,0.0,0.0,,,0.9961,0.9980628569520056,0.001937143047994389,,0.9691633979479471,,0.2747986033098288,0.2720412282213319,0.138772299978882,4.625743332629403,,0.1351041793823242,0.0,0.0,58.0,29883.0,59.0,temporal_70_15_15,,,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP4,4,GPU-bound stable evaluation,result\exp4_summary.csv,,,exp4_gpu_stable,uniform,46.0,0.0025715135528255,AP/AUPRC,,0.0,0.0,0.0,,,0.9978,0.9997662068735179,0.00023379312648208142,,0.987012227376302,,0.2328372914358385,0.230265777883013,0.1415715000184718,4.719050000615729,,0.1351690292358398,0.0,0.0,7.0,29934.0,59.0,temporal_70_15_15,,,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP5,5,Corrected GPU sampler,result\exp5_summary.csv,,,exp5_gpu_corrected,uniform,42.0,0.0121051836546203,AP/AUPRC,,0.0027975814457178957,0.7209302325581395,0.0055735346997482,,,0.26253333333333334,0.2612154843885806,0.7387845156114194,,0.5,,0.0114155393329527,-0.0006896443216675985,0.1960232999990694,13.06821999993796,,0.102856159210205,0.7209302325581395,31.0,11050.0,3907.0,12.0,temporal_70_15_15,,,GPU sampler eksak tanpa replacement dan threshold fixed 0.5.
EXP6,6,Imbalance calibration,result\exp6_summary.csv,,,exp6_gpu_tqdm,topology,42.0,0.0237910480405234,AP/AUPRC,,0.7698412698412699,0.0217781769196228,0.04235807860262,,,0.998800995616499,0.9999920625818889,7.937418111162719e-06,,0.99856299161911,validation_f_beta,0.6659478315392025,0.6421567801748908,104.5390214999934,28.57791724245213,32341.8993145,7.754501342773437,0.0217928555380813,97.0,29.0,3653552.0,4357.0,temporal_70_15_15,,,"Threshold validation, gradient clipping, progress bar, full-data GPU."
