run,comparison_id,completed_mtime_ns,auprc,roc_auc,accuracy,precision,recall,f1,tn,fp,fn,tp,strategy,seed,best_epoch,epochs,best_val_auprc,checkpoint_val_auprc,val_test_auprc_gap,decision_threshold,long_tail_count,long_tail_recall,long_tail_unknown_history_fraud,inference_seconds,inference_ms_per_1000,inference_with_preparation_ms_per_1000,peak_vram_gb,duration_seconds,included_in_summary
exp9_reference_sampling_3dab9a5ac30d71cd_importance_seed42_attempt0001,3dab9a5ac30d71cd,1788795470946643200,0.025447761563785844,0.6586402069896353,0.9560310385220481,0.0042981577512647235,0.1522227211495285,0.00836025549335372,3496517,157064,3776,678,importance,42,43,58,0.6523082773369347,0.6523082773369347,0.6268605157731489,0.5,4451,0.15232532015277467,1,0.4775978999969084,0.13056132595694364,1.7878282465830546,2.1657509803771973,1574.7506726000138,True
exp9_reference_sampling_3dab9a5ac30d71cd_uniform_seed42,3dab9a5ac30d71cd,1788798279205397800,0.025288187937399693,0.6427888651340887,0.945078710291181,0.0035831968787272323,0.15918275707229457,0.007008629807929934,3456422,197159,3745,709,uniform,42,43,58,0.6491501452603743,0.6491501452603743,0.6238619573229746,0.5,4451,0.1588407099528196,1,0.465174000011757,0.1271649943239354,0.297510165979363,1.9113755226135254,1288.975242600005,True
exp9_reference_sampling_3dab9a5ac30d71cd_topology_seed42,3dab9a5ac30d71cd,1788802495381103800,0.02586159234315035,0.6576905766981648,0.9566666256610448,0.004139120806967628,0.1443646160754378,0.008047509089429979,3498877,154704,3811,643,topology,42,43,58,0.6530447357484147,0.6530447357484147,0.6271831434052644,0.5,4451,0.1444619186699618,1,0.5268164000008255,0.144016227291654,2.42323225447757,2.1657509803771973,1304.4456625999883,True
