comparison_id,strategy,auprc_count,auprc_mean,auprc_std,roc_auc_count,roc_auc_mean,roc_auc_std,ap_lift_count,ap_lift_mean,ap_lift_std,f1_macro_count,f1_macro_mean,f1_macro_std,gmean_count,gmean_mean,gmean_std,recall_count,recall_mean,recall_std,f1_count,f1_mean,f1_std,precision_count,precision_mean,precision_std,false_positive_rate_count,false_positive_rate_mean,false_positive_rate_std,alert_rate_count,alert_rate_mean,alert_rate_std,decision_threshold_count,decision_threshold_mean,decision_threshold_std,best_val_auprc_count,best_val_auprc_mean,best_val_auprc_std,val_test_auprc_gap_count,val_test_auprc_gap_mean,val_test_auprc_gap_std,inference_ms_per_1000_count,inference_ms_per_1000_mean,inference_ms_per_1000_std,long_tail_recall_count,long_tail_recall_mean,long_tail_recall_std
4b92fbbea32c75a4,uniform,1,0.19012562799970856,,1,0.94738719349535,,1,156.14867571170046,,1,0.6227227071898964,,1,0.43133607691936926,,1,0.18612483161203414,,1,0.24614014251781471,,1,0.3632778264680105,,1,0.00039769201777650753,,1,0.0006238321940604724,,1,0.9208043813705444,,1,0.8465752919279279,,1,0.6564496639282194,,1,0.30460394720078815,,1,0.18602561222197259,
6d2d5b1e7aef6380,topology,1,0.20813506652429253,,1,0.9520252538496291,,1,170.93968524319496,,1,0.6167205875016877,,1,0.5344465260634825,,1,0.2860350246969017,,1,0.23457926716995028,,1,0.1988139825218477,,1,0.0014051967097485907,,1,0.0017517601663188023,,1,0.3019711673259735,,1,0.8517877704515461,,1,0.6436527039272535,,1,0.30623733780531626,,1,0.2860031453605931,
6d2d5b1e7aef6380,uniform,1,0.24857148717120062,,1,0.9614961675161161,,1,204.14979795112322,,1,0.653450725277979,,1,0.4895825486433585,,1,0.2397844634036821,,1,0.3075593952483801,,1,0.42874347651545563,,1,0.0003894808955925422,,1,0.0006809666938670625,,1,0.8531165719032288,,1,0.845463321400876,,1,0.5968918342296754,,1,0.31275280307508574,,1,0.23972141091889462,
7b64eff9fc076c23,uniform,1,0.11976169490519388,,1,0.9439815494207475,,1,94.0536870983198,,1,0.5816080327768571,,1,0.37584107791037885,,1,0.14136125654450263,,1,0.1641337386018237,,1,0.1956521739130435,,1,0.0007409434680158977,,1,0.00092,,1,0.39177677035331726,,1,0.6967676627245819,,1,0.5770059678193881,,1,1.357876000001852,,1,0.14136125654450263,
7bdae5fe466252c7,importance,1,0.22438666090100473,,1,0.9671920337665896,,1,184.2869912682997,,1,0.6371657791205078,,1,0.5081575656662508,,1,0.2584193982936686,,1,0.27516136743963665,,1,0.29422290388548056,,1,0.0007556969449972195,,1,0.0010694266183893812,,1,0.29219555854797363,,1,0.852064156195731,,1,0.6276774952947262,,1,0.30777472058042343,,1,0.25791956863626153,
7bdae5fe466252c7,topology,1,0.2208231118819924,,1,0.9705083787510574,,1,181.36027662174317,,1,0.6373754066501446,,1,0.5012818701509186,,1,0.25145936237090255,,1,0.2755566490343216,,1,0.3047619047619048,,1,0.0006993139060007536,,1,0.0010046377358335827,,1,0.2952009439468384,,1,0.8467994607702443,,1,0.6259763488882518,,1,0.3054840098575526,,1,0.2514041788362166,
7bdae5fe466252c7,uniform,1,0.20734548496938976,,1,0.9765915130974023,,1,170.29120815222308,,1,0.6291075825180689,,1,0.5166398192059553,,1,0.26717557251908397,,1,0.25914634146341464,,1,0.25158562367864695,,1,0.0009689124177074682,,1,0.0012930439429912509,,1,0.322765052318573,,1,0.8526702909610652,,1,0.6453248059916754,,1,0.27732066532982197,,1,0.26690631318804764,
9178038163c730d0,uniform,1,0.2062692355642489,,1,0.948941761283892,,1,169.40729302138914,,1,0.6311425271849098,,1,0.4720353158029501,,1,0.22294566681634487,,1,0.26304635761589407,,1,0.32073643410852715,,1,0.0005755996650956829,,1,0.000846356035412455,,1,0.6917193531990051,,1,0.8588250845526139,,1,0.6525558489883649,,1,0.310460397454195,,1,0.22287126488429565,
9c66709b8deb2129,uniform,1,0.046643298471884344,,1,0.8657157828088184,,1,36.63086267425472,,1,0.5370742941079051,,1,0.28005960024646304,,1,0.07853403141361257,,1,0.07537688442211055,,1,0.07246376811594203,,1,0.0012816319446762314,,1,0.00138,,1,0.19262807071208954,,1,0.733669394282905,,1,0.6870260958110207,,1,0.5464960000002369,,1,0.07853403141361257,
b371f2b41e990d27,uniform,1,0.06256604057916249,,1,0.9040294379730085,,1,49.13563396269305,,1,0.5626841500185585,,1,0.3153030507432786,,1,0.09947643979057591,,1,0.12624584717607973,,1,0.17272727272727273,,1,0.0006074401404454477,,1,0.0007333333333333333,,1,0.7813540101051331,,1,0.7298007080610222,,1,0.6672346674818597,,1,1.10113400000652,,1,0.09947643979057591,
