run,comparison_id,completed_mtime_ns,auprc,roc_auc,accuracy,precision,recall,f1,f1_macro,gmean,specificity,false_positive_rate,alert_rate,prevalence,ap_lift,tn,fp,fn,tp,strategy,seed,best_epoch,epochs,stop_reason,best_val_auprc,checkpoint_val_auprc,max_observed_val_auprc,selection_score,selection_metric,val_test_auprc_gap,decision_threshold,threshold_policy,long_tail_count,long_tail_recall,long_tail_unknown_history_fraud,inference_seconds,inference_ms_per_1000,inference_with_preparation_ms_per_1000,peak_vram_gb,duration_seconds,included_in_summary
exp11_pilot_1000000_control_86b93d7499aa1296_uniform_seed42,86b93d7499aa1296,1788900590471259900,0.004889542488611313,0.8376572626386848,0.9846466666666667,0.000945179584120983,0.010471204188481676,0.0017338534893801473,0.49699884788492515,0.10160433980279755,0.9858886982758045,0.014111301724195502,0.014106666666666667,0.0012733333333333333,3.8399548339879424,147695,2114,189,2,uniform,42,26,30,max_epochs,0.2786046309707173,0.2786046309707173,0.2786046309707173,90.19166473720999,temporal_geometric_ap_lift,0.273715088482106,0.8356286883354187,validation,191,0.010471204188481676,0,0.0711328000179492,0.47421866678632796,2.168213333352469,0.3149299621582031,12.076949200010858,True
exp11_pilot_1000000_features_only_6fcb3f02fa489c8a_uniform_seed42,6fcb3f02fa489c8a,1788900590472766300,0.11567948402119056,0.9499176944995826,0.9987133333333333,0.4444444444444444,0.041884816753926704,0.07655502392344497,0.5379556210443834,0.20465097330020457,0.9999332483362148,6.675166378522501e-05,0.00012,0.0012733333333333333,90.84776232030673,149799,10,183,8,uniform,42,30,30,max_epochs,0.7147889858219787,0.7147889858219787,0.7248333941017826,356.9836686713681,temporal_geometric_ap_lift,0.5991095018007881,0.9007313251495361,validation,191,0.041884816753926704,0,0.07621539998217486,0.5081026665478324,2.231370000129876,0.3556022644042969,13.833297099976335,True
exp11_pilot_1000000_main_4807fc0324d9a265_uniform_seed42,4807fc0324d9a265,1788900590473773500,0.06256604057916249,0.9040294379730085,0.9982466666666666,0.17272727272727273,0.09947643979057591,0.12624584717607973,0.5626841500185585,0.3153030507432786,0.9993925598595546,0.0006074401404454477,0.0007333333333333333,0.0012733333333333333,49.13563396269305,149718,91,172,19,uniform,42,26,30,max_epochs,0.7298007080610222,0.7298007080610222,0.7344756433430291,0.7173978733879872,recent_ap,0.6672346674818597,0.7813540101051331,validation,191,0.09947643979057591,0,0.09355589997721836,0.6237059998481224,2.4058913332798206,0.35559558868408203,15.855404100002488,True
exp11_behavioral_temporal_533260b8f51244e6_uniform_seed42_attempt0001,533260b8f51244e6,1789013241940415800,0.1747205826582898,0.8830298308592883,0.9979847103704584,0.20843325339728216,0.23417153120790302,0.22055402833580037,0.6097725395906268,0.4836503448308227,0.9989158581676443,0.0010841418323557228,0.0013679475456085028,0.0012175935987490552,143.496633718998,3649620,3961,3411,1043,uniform,42,30,50,early_stopping,0.8323026724169728,0.8323026724169728,0.8380980619382424,0.7794405465044503,recent_ap,0.6575820897586829,0.47458282113075256,validation,4451,0.2341046955740283,1,1.0541229999998905,0.28816646095510035,0.7237572631205708,1.2609210014343262,334.9218845000005,True
exp11_behavioral_temporal_533260b8f51244e6_topology_seed42_attempt0001,533260b8f51244e6,1789013608900613200,0.1877907398553105,0.9208123096225711,0.9984554549095348,0.30393442622950817,0.2081275258194881,0.2470682302771855,0.6231475824042643,0.4560773929699867,0.9994189262534483,0.0005810737465516969,0.0008337809780387558,0.0012175935987490552,154.23105053134728,3651458,2123,3527,927,topology,42,28,48,early_stopping,0.8298098706753524,0.8298098706753524,0.8370416153681804,0.7906547618694522,recent_ap,0.6420191308200419,0.7279874682426453,validation,4451,0.20804313637384858,1,1.2691516000004412,0.3469490040419081,2.7987575569943117,1.515296459197998,336.19464379999954,True
exp11_behavioral_temporal_533260b8f51244e6_importance_seed42_attempt0001,533260b8f51244e6,1789013892697334000,0.1538505085909682,0.9498149407553087,0.9977291086607974,0.18567466144558656,0.2555006735518635,0.21506189171312481,0.6069624005973621,0.5051253755863669,0.9986339429726616,0.0013660570273383854,0.0016754897096391914,0.0012175935987490552,126.35620682388017,3648590,4991,3316,1138,importance,42,14,34,early_stopping,0.8050579862509749,0.8050579862509749,0.8362120009681554,0.7598619541571022,recent_ap,0.6512074776600068,0.737087607383728,validation,4451,0.25522354527072566,1,0.9868716000000859,0.2697818910972929,2.168122557602779,1.515296459197998,239.0372997000004,True
