run,comparison_id,completed_mtime_ns,auprc,roc_auc,accuracy,precision,recall,f1,f1_macro,gmean,specificity,false_positive_rate,alert_rate,prevalence,ap_lift,tn,fp,fn,tp,strategy,seed,best_epoch,epochs,best_val_auprc,checkpoint_val_auprc,max_observed_val_auprc,selection_score,selection_metric,val_test_auprc_gap,decision_threshold,threshold_policy,long_tail_count,long_tail_recall,long_tail_unknown_history_fraud,inference_seconds,inference_ms_per_1000,inference_with_preparation_ms_per_1000,peak_vram_gb,duration_seconds,included_in_summary
exp10_legacy_pilot_1m_536930f903a1662c_uniform_seed42,536930f903a1662c,1788851420644558500,0.004088571568689528,0.6467801111775171,0.9126733333333333,0.00574360545259611,0.39267015706806285,0.011321609178051174,0.4828204308850106,0.598865522659931,0.9133363149076491,0.0866636850923509,0.08705333333333333,0.0012733333333333333,3.2109200801226656,136826,12983,116,75,uniform,42,30,30,0.487631101493767,0.487631101493767,0.487631101493767,0.487631101493767,ap,0.48354252992507746,0.5,fixed,191,0.39267015706806285,0,0.055058600002666935,0.3670573333511129,1.4571700000669807,0.09291315078735352,51.19335819999105,True
exp10_pilot_1m_2bf1b7b39ee22723_uniform_seed42,2bf1b7b39ee22723,1788851420645558500,0.004889542488611313,0.8376572626386848,0.9846466666666667,0.000945179584120983,0.010471204188481676,0.0017338534893801473,0.49699884788492515,0.10160433980279755,0.9858886982758045,0.014111301724195502,0.014106666666666667,0.0012733333333333333,3.8399548339879424,147695,2114,189,2,uniform,42,26,30,0.2786046309707173,0.2786046309707173,0.2786046309707173,90.19166473720999,temporal_geometric_ap_lift,0.273715088482106,0.8356286883354187,validation,191,0.010471204188481676,0,0.10096310000517406,0.673087333367827,4.302380000105283,0.31296873092651367,17.35050269999192,True
exp10_temporal_robust_81de71eac888b22b_uniform_seed42,81de71eac888b22b,1788852237908713000,0.035268268544877725,0.8058014306544332,0.9968349127332023,0.037762782247599276,0.06533453075886843,0.04786184210526316,0.5231383318777924,0.2553466923673657,0.9979704843001975,0.0020295156998024755,0.002106595480907099,0.0012175935987490552,28.96555023048087,3646166,7415,4163,291,uniform,42,15,30,0.7227922855387842,0.7227922855387842,0.7292728923585591,150.75103798771013,temporal_geometric_ap_lift,0.6875240169939064,0.7548426985740662,validation,4451,0.06537856661424399,1,0.9848349999811035,0.26922514409542375,0.63291928589366,1.094548225402832,177.20976529998006,True
exp10_temporal_robust_81de71eac888b22b_topology_seed42,81de71eac888b22b,1788852410827871300,0.02850536415435983,0.8030396486821438,0.9959532918629811,0.021189969464236142,0.051414458913336326,0.030011139505930148,0.513991777993723,0.22641908406499137,0.9971047583179352,0.0028952416820647864,0.0029543183703819127,0.0012175935987490552,23.411230301839616,3643003,10578,4225,229,topology,42,5,20,0.6981901186845207,0.6981901186845207,0.7189017034198774,129.37579837135416,temporal_geometric_ap_lift,0.669684754530161,0.8107842206954956,validation,4451,0.05144911255897551,1,1.182129900000291,0.32315981121019643,4.23856414714473,1.348923683166504,129.90877919999184,True
exp10_temporal_robust_81de71eac888b22b_importance_seed42,81de71eac888b22b,1788852566283525600,0.029189591269967324,0.8068173905224116,0.9954207655202861,0.021182150922825327,0.061068702290076333,0.03145417750795027,0.5145795674233409,0.24669538821274037,0.9965598135089929,0.00344018649100708,0.0035103546029493977,0.0012175935987490552,23.97318062443532,3641012,12569,4182,272,importance,42,5,20,0.7013411174291333,0.7013411174291333,0.7132708388020076,136.09761542043793,temporal_geometric_ap_lift,0.672151526159166,0.7142279744148254,validation,4451,0.061109862952145586,1,1.0254911000083666,0.28033933519180837,2.173978789174529,1.348923683166504,120.19984939999995,True
